word_id,words,pron,letter_order,letter,type,meaning
1,挨拶,あいさつ,1,あ,名，サ変,打招呼；致詞；寒暄、問候
2,間,あいだ,1,あ,名,間隔、期間；中間
3,会う,あう,1,あ,自五,會面、見面
4,合う,あう,1,あ,自五，辅助,一致、符合；互相
5,青い,あおい,1,あ,形,青色、藍色、綠色；不成熟
6,赤,あか,1,あ,名,紅色；完全
7,赤い,あかい,1,あ,形,紅色的；共產主義的
8,秋,あき,1,あ,名,秋天
9,朝,あさ,1,あ,名,早上、上午
10,足,あし,1,あ,名,腳、腿、（器物）的腿兒
11,味,あじ,1,あ,名,味道、風味；滋味、甜頭；趣味、情調
12,明日,あした,1,あ,名,明天
13,遊ぶ,あそぶ,1,あ,自五,玩耍；旅行、遊學；沒工作；不起作用
14,頭,あたま,1,あ,名,頭
15,新しい,あたらしい,1,あ,形,新的；新式的；新鮮的；有活力的；現代的，進步的
16,あちら,あちら,1,あ,代，名,那邊；那個；那位
17,後,あと,1,あ,名,後面；後方；以後；之後；那麼、再見；（順序）後；死後；後任、後繼者、續弦；剩下的
18,穴，孔,あな,1,あ,名,洞、穴；虧空
19,貴方,あなた,1,あ,代,你、您
20,兄,あに,1,あ,名,哥哥
21,姉,あね,1,あ,名,姐姐；嫂子
22,あの,あの,1,あ,連体,那個（遠稱）；那
23,油，脂,あぶら,1,あ,名,油；（人、動物身上的）脂肪
24,網,あみ,1,あ,名,網；落網
25,雨,あめ,1,あ,名,雨、雨點般
26,洗う,あらう,1,あ,他五,洗；洗刷、沖洗；調查、查清
27,ありがとう,ありがとう,1,あ,感,謝謝
28,歩く,あるく,1,あ,自五,步行、外出
29,あれ,あれ,1,あ,代名，感,那個；那件事；那時；那個人；那兒；哎呀
30,良い，好い,いい,2,い,形,好；合適；行、可以；最好、希望；容易
31,言う,いう,2,い,自，他五,說；有聲響；詢問；批評、評價；表達；叫、稱做；議論、謠言；美言、講情
32,家,いえ,2,い,名,房子；家；門第
33,息,いき,2,い,名,呼吸；步調
34,生きる,いきる,2,い,自上一,謀生、維持生計；有效、有影響；生動、栩栩如生
35,行く,いく,2,い,自五,去；寄到；過去、逝去；往來、上班、上學；事情進展；以某種方式做
36,幾つ,いくつ,2,い,名,幾個；幾歲
37,幾ら,いくら,2,い,名,多少、多少錢；無論如何、即使也
38,池,いけ,2,い,名,池子、水池；硯池
39,いけない,いけない,2,い,形,不好的、不行的；沒有希望的、沒有指望的；禁止；（用なくてはいけない的形式表示）必
40,石,いし,2,い,名,石頭、石子；寶石
41,医者,いしゃ,2,い,名,醫生
42,椅子,いす,2,い,名,椅子；職位
43,痛い,いたい,2,い,形,疼痛；難受；（被觸及弱點而）感到痛苦
44,一日,いちにち,2,い,名,一天；一整天；某日
45,一番,いちばん,2,い,名，副,第一；最；最好
46,何時,いつ,2,い,代,何時
47,一緒,いっしょ,2,い,名,一起做；同時發生；在一起
48,一杯,いっぱい,2,い,名，副,一杯、一碗；飲少量的酒；滿滿的；全部、沾滿；極限；許多
49,いつも,いつも,2,い,副,經常地；平常
50,糸,いと,2,い,名,線；樂器的弦；釣魚線；線狀物
51,犬,いぬ,2,い,名,狗；間諜、鷹犬
52,稲,いね,2,い,名,水稻
53,命,いのち,2,い,名,生命；壽命；最重要的
54,今,いま,2,い,名，副,現在；當前；馬上；正好、方才；用（今少しで）的形式，表示“幾乎”
55,居間,いま,2,い,名,起居室
56,意味,いみ,2,い,名,意思；動機；含義；主旨、要點；意義
57,妹,いもうと,2,い,名,妹妹
58,嫌,いや,2,い,形動,令人厭煩
59,いらっしゃる,いらっしゃる,2,い,自五,（敬語）來；（敬語）去；（敬語）在；相當於“……です”
60,入る,いる,2,い,自五,進入；達到某種狀態
61,要る,いる,2,い,自五,需要、必要
62,居る,いる,2,い,自上一,（指人、動物等）有、在、居住在
63,入れる,いれる,2,い,他下一,裝、放入；讓入、讓進；容納；鑲嵌；購進、輸入；雇傭、採用；添、加；承認、容忍；加
64,色,いろ,2,い,名,色彩；膚色；表情；景象、樣子；種類；戀愛、女色
65,上,うえ,3,う,名,上面；表面；有關；還、而且；之後；既然……就；（接尾詞）對長輩的敬稱
66,動く,うごく,3,う,自五,動、晃動；轉動、開動；搖晃；活動；（受到影響）行動；變更；變動
67,牛,うし,3,う,名,牛
